book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
n2nIM0l1TQ0C,Data Warehousing Fundamentals,A Comprehensive Guide for IT Professionals,Paulraj Ponniah,John Wiley & Sons,2004-03-24,BOOK,544,en,"Computers / Data Science / Data Warehousing, Computers / Networking / General, Computers / Information Technology",471463892,9780471463894,,3923162,2746213,VND,ALLOWED,FALSE,TRUE
8kRDEAAAQBAJ,The DevOps Handbook,"How to Create World-Class Agility, Reliability, & Security in Technology Organizations","Gene Kim, Jez Humble, Patrick Debois, John Willis, Nicole Forsgren",IT Revolution,,BOOK,528,en,"Business & Economics / Leadership, Business & Economics / Information Management, Business & Economics / Industries / Computers & Information Technology, Business & Economics / Management",1950508439,9781950508433,,810008,567006,VND,ALLOWED_FOR_ACCESSIBILITY,TRUE,TRUE
4tAHEQAAQBAJ,Google Workspace For Dummies,N/A,Paul McFedries,John Wiley & Sons,,BOOK,464,en,"Computers / Business & Productivity Software / Presentations, Computers / Business & Productivity Software / Spreadsheets, Computers / Business & Productivity Software / Office Suites, Computers / Desktop Applications / General, Computers / Software Development & Engineering / General",1394253230,9781394253234,,1017194,712036,VND,ALLOWED,TRUE,TRUE
6hkR_ixby08C,Data Mining,Concepts and Techniques,Jiawei Han,Morgan Kaufmann Publishers,,BOOK,550,en,"Computers / Databases / General, Computers / Information Technology",1558604898,9781558604896,,2369283,1748976,VND,ALLOWED,TRUE,FALSE
StFq89E7CWkC,Data Warehousing,The Ultimate Guide to Building Corporate Business Intelligence,SCN Education B.V.,Springer Science & Business Media,2001-04-27,BOOK,336,en,"Technology & Engineering / General, Technology & Engineering / Engineering (General)",352805753X,9783528057534,,2897137,2372444,VND,ALLOWED,FALSE,TRUE
95Rg5K516mYC,Fundamentals of Data Warehouses,N/A,"Matthias Jarke, Maurizio Lenzerini, Yannis Vassiliou, Panos Vassiliadis",Springer Science & Business Media,2002-11-26,BOOK,224,en,"Computers / Databases / General, Computers / System Administration / Storage & Retrieval, Computers / Information Technology, Computers / Intelligence (AI) & Semantics, Business & Economics / Operations Research",3540420894,9783540420897,,1448173,1448173,VND,ALLOWED,FALSE,TRUE
llroEAAAQBAJ,Analytics Engineering with SQL and Dbt,N/A,"Rui Pedro Machado, Helder Russa","O'Reilly Media, Inc.",2023-12-08,BOOK,324,en,"Computers / Data Science / General, Computers / Data Science / Data Analytics, Computers / Languages / SQL, Computers / Data Science / Machine Learning",1098142357,9781098142353,,1738177,1051493,VND,ALLOWED,FALSE,TRUE
vKbpywEACAAJ,The Art of Doing Science and Engineering,Learning to Learn,Richard W. Hamming,Stripe Press,2020-01-01,BOOK,432,en,"Computers / General, Computers / Computer Science, Computers / Information Technology, Science / General, Technology & Engineering / Engineering (General), Technology & Engineering / History, Technology & Engineering / Inventions, Technology & Engineering / Research",1732265178,9781732265172,,921900,804950,VND,ALLOWED,FALSE,FALSE
a2n2EAAAQBAJ,Kubernetes for Developers,N/A,William Denniss,Simon and Schuster,,BOOK,300,en,"Computers / Software Development & Engineering / General, Computers / Programming / Open Source, Computers / Internet / Web Programming, Computers / Distributed Systems / Cloud Computing, Mathematics / General",1617297178,9781617297175,,1580137,1150795,VND,ALLOWED_FOR_ACCESSIBILITY,FALSE,FALSE
UZNsEAAAQBAJ,Control Systems and Reinforcement Learning,N/A,Sean Meyn,Cambridge University Press,,BOOK,450,en,"Business & Economics / Econometrics, Computers / Artificial Intelligence / General, Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Programming / Algorithms, Mathematics / Applied, Mathematics / Probability & Statistics / General, Mathematics / Probability & Statistics / Stochastic Processes, Science / General",1316511960,9781316511961,,1817460,1691291,VND,ALLOWED,FALSE,TRUE
