book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
INxjEAAAQBAJ,Concepts of Computer Science,N/A,Sanjeev Thakur,Rudra Publications,,BOOK,195,en,"Computers / Computer Science, Computers / Computer Engineering",9393767475,9789393767479,,86097,71461,VND,ALLOWED,FALSE,TRUE
S7QU9RRLYIYC,Computer Science,"The Hardware, Software and Heart of It","Edward K. Blum, Alfred V Aho",Springer Science & Business Media,,BOOK,470,en,"Computers / Software Development & Engineering / General, Computers / Computer Science, Computers / Networking / General, Computers / Database Administration & Management, Computers / Programming / Compilers, Computers / Information Technology, Mathematics / Discrete Mathematics, Computers / Networking / Hardware",1461411688,9781461411680,,1708498,1195949,VND,ALLOWED,TRUE,TRUE
oGIsEQAAQBAJ,Study Guide to Security in DevOps,A Comprehensive Guide to Learn Security in DevOps,Cybellium,Cybellium Ltd,,BOOK,225,en,Computers / Information Technology,1836797834,9781836797838,,465728,316695,VND,ALLOWED,FALSE,TRUE
W-VvEAAAQBAJ,"Combining DataOps, MLOps and DevOps",Outperform Analytics and Software Development with Expert Practices on Process Optimization and Automation (English Edition),"Dr. Kalpesh Parikh,  Amit Johri",BPB Publications,,BOOK,398,en,"Computers / Software Development & Engineering / General, Computers / Software Development & Engineering / Project Management, Computers / Data Science / Machine Learning",9355511914,9789355511911,,289381,196779,VND,ALLOWED,TRUE,TRUE
sJbqDQAAQBAJ,The DevOps Adoption Playbook,A Guide to Adopting DevOps in a Multi-Speed IT Enterprise,Sanjeev Sharma,John Wiley & Sons,,BOOK,416,en,"Computers / Software Development & Engineering / Project Management, Technology & Engineering / Electronics / General, Computers / Information Technology",1119310520,9781119310525,,1220950,854665,VND,ALLOWED,FALSE,TRUE
mWMPAQAAMAAJ,Introduction to Computer Science,N/A,Thomas C. Bartee,McGraw-Hill,1975-01-01,BOOK,404,en,"Computers / General, Reference / Questions & Answers",70038805,9780070038806,,1973920,1973920,VND,ALLOWED,FALSE,FALSE
r5-mAwAAQBAJ,Modern Web Development with IBM WebSphere,"Developing, Deploying, and Managing Mobile and Multi-Platform Apps","Kyle Brown, Roland Barcia, Karl Bishop, Matthew Perrins",IBM Press,,BOOK,384,en,"Computers / Languages / JavaScript, Computers / Web / General, Computers / Internet / General",133067092,9780133067095,,763860,763860,VND,ALLOWED_FOR_ACCESSIBILITY,FALSE,FALSE
B4oZEQAAQBAJ,Learning Kali Linux,N/A,Ric Messier,"O'Reilly Media, Inc.",,BOOK,542,en,"Computers / Security / Network Security, Computers / Operating Systems / Linux, Computers / Software Development & Engineering / Quality Assurance & Testing, Computers / System Administration / Linux & UNIX Administration",109815410X,9781098154103,,1580137,938494,VND,ALLOWED,FALSE,TRUE
QcBGAwAAQBAJ,Kali Linux – Assuring Security by Penetration Testing,N/A,"Lee Allen, Tedi Heriyanto, Shakeel Ali",Packt Publishing Ltd,,BOOK,450,en,"Computers / Security / Network Security, Computers / Operating Systems / Linux, Computers / System Administration / Linux & UNIX Administration",1849519498,9781849519496,,842773,589941,VND,ALLOWED,TRUE,TRUE
YBKSDwAAQBAJ,Data Science from Scratch,First Principles with Python,Joel Grus,"O'Reilly Media, Inc.",2019-04-12,BOOK,406,en,"Computers / Data Science / Data Modeling & Design, Business & Economics / Business Mathematics, Business & Economics / Statistics, Computers / Data Science / General, Computers / Data Science / Data Analytics, Computers / Languages / Python",1492041106,9781492041108,,1738177,1022782,VND,ALLOWED,FALSE,TRUE
pLe9V19eywgC,The Python Programming Language,N/A,"Bradley N. Miller, David L. Ranum",Jones & Bartlett Learning,,BOOK,59,en,"Computers / General, Computers / Computer Science, Computers / Security / Network Security, Computers / Languages / General, Computers / Languages / Python",076374316X,9780763743161,,454892,454892,VND,ALLOWED,FALSE,TRUE
YqQIzAEACAAJ,Python Programming,"The Ultimate Advanced Guide to Python Coding Language, Machine Learning, and Data Analysis, Become an Expert with Hands-On Projects and Step-by-Step Exercises",John Russel,Independently Published,2019-11-19,BOOK,144,en,"Computers / Software Development & Engineering / Computer Graphics, Computers / Operating Systems / Windows Desktop, Computers / Languages / Python, Computers / Internet / Web Programming, Computers / Computer Simulation, Technology & Engineering / Remote Sensing & Geographic Information Systems",1709647477,9781709647475,,933272,933272,VND,ALLOWED,FALSE,FALSE
dXo2g3kFxKsC,Data Mining,"Theory, Methodology, Techniques, and Applications",Graham J. Williams,Springer Science & Business Media,2006-02-20,BOOK,329,en,"Computers / Artificial Intelligence / General, Computers / Computer Science, Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Database Administration & Management, Computers / Data Science / Data Analytics, Computers / Data Science / Data Warehousing, Computers / System Administration / Storage & Retrieval, Computers / Information Technology, Computers / Machine Theory, Computers / Optical Data Processing, Computers / User Interfaces, Mathematics / Discrete Mathematics",3540325476,9783540325475,,1448437,1448437,VND,ALLOWED,FALSE,TRUE
yLKcDwAAQBAJ,Computer Science and Engineering Education for Pre-collegiate Students and Teachers,N/A,Andrea Burrows,MDPI,,BOOK,142,en,Social Science / General,3038979406,9783038979401,,1143946,1143946,VND,ALLOWED,FALSE,TRUE
ANaTzwEACAAJ,HTML and CSS,The Comprehensive Guide,Jürgen Wolf,"Rheinwerk Publishing, Incorporated",2023-01-01,BOOK,814,en,"Computers / General, Computers / Data Science / General, Computers / Languages / HTML, Computers / Internet / Web Programming, Technology & Engineering / General",1493224220,9781493224227,,1154219,1154219,VND,ALLOWED,FALSE,FALSE
